# ppms_temperature_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"voltage"	"X"	"Y"	"X"	"Y"
# 34	21
3.5	1.7	0.000103832	-4.05314e-06	2.30671e-05	-3.5763e-07
3.5	1.6	9.82289e-05	-3.6955e-06	2.25903e-05	-3.5763e-07
3.5	1.5	9.59639e-05	-3.57629e-06	2.24115e-05	-2.98025e-07
3.5	1.4	9.79905e-05	-3.6955e-06	2.25903e-05	-3.27827e-07
3.5	1.3	0.000101805	-3.93394e-06	2.29479e-05	-3.87432e-07
3.5	1.2	0.000105262	-4.17235e-06	2.31565e-05	-3.5763e-07
3.5	1.1	0.000108123	-4.52998e-06	2.33055e-05	-4.17234e-07
3.5	1	0.000112415	-4.88761e-06	2.35141e-05	-4.17234e-07
3.5	0.9	0.000119687	-5.48366e-06	2.37526e-05	-4.17234e-07
3.5	0.8	0.000127674	-6.31812e-06	2.45274e-05	-5.06643e-07
3.5	0.7	0.000132562	-6.91417e-06	2.59579e-05	-5.9605e-07
3.5	0.6	0.000141383	-7.86787e-06	2.77163e-05	-6.85457e-07
3.5	0.5	0.000156046	-9.5368e-06	2.95938e-05	-8.04666e-07
3.5	0.4	0.000167609	-1.10865e-05	3.20675e-05	-1.07289e-06
3.5	0.3	0.000183464	-1.31131e-05	3.55842e-05	-1.2517e-06
3.5	0.2	0.000201941	-1.5855e-05	4.00546e-05	-1.57953e-06
3.5	0.0999999999999999	0.000222207	-1.94312e-05	4.65217e-05	-2.05637e-06
3.5	0	0.000272991	-2.88488e-05	5.56114e-05	-3.12926e-06

3.75	2	0.000188828	-1.43052e-05	3.66571e-05	-1.31131e-06
3.75	1.9	0.00013137	-6.67575e-06	2.53917e-05	-5.66248e-07
3.75	1.8	0.000111104	-4.7684e-06	2.34247e-05	-4.17234e-07
3.75	1.7	0.000103713	-3.93394e-06	2.30969e-05	-3.5763e-07
3.75	1.6	9.81097e-05	-3.57629e-06	2.25605e-05	-2.68223e-07
3.75	1.5	9.59639e-05	-3.33787e-06	2.23817e-05	-2.98025e-07
3.75	1.4	9.78713e-05	-3.45708e-06	2.25903e-05	-3.27827e-07
3.75	1.3	0.000101686	-3.81473e-06	2.29479e-05	-3.27827e-07
3.75	1.2	0.000105143	-4.17235e-06	2.31863e-05	-3.5763e-07
3.75	1.1	0.000108123	-4.41077e-06	2.33055e-05	-3.5763e-07
3.75	1	0.000112415	-4.7684e-06	2.35738e-05	-3.87432e-07
3.75	0.9	0.000119687	-5.36445e-06	2.38122e-05	-3.87432e-07
3.75	0.8	0.000127674	-6.19891e-06	2.44976e-05	-5.06643e-07
3.75	0.7	0.000132442	-6.91417e-06	2.59877e-05	-5.66248e-07
3.75	0.6	0.000141145	-7.86787e-06	2.76865e-05	-6.55655e-07
3.75	0.5	0.000156046	-9.5368e-06	2.95938e-05	-8.34469e-07
3.75	0.4	0.000167609	-1.09673e-05	3.21271e-05	-9.83484e-07
3.75	0.3	0.000183226	-1.31131e-05	3.55842e-05	-1.1921e-06
3.75	0.2	0.00020218	-1.57357e-05	4.00546e-05	-1.51993e-06
3.75	0.0999999999999999	0.000222445	-1.94312e-05	4.65515e-05	-1.99677e-06
3.75	0	0.000272991	-2.88488e-05	5.57604e-05	-3.06965e-06

4	2	0.000188828	-1.43052e-05	3.66273e-05	-1.28151e-06
4	1.9	0.00013137	-6.67575e-06	2.54215e-05	-5.36445e-07
4	1.8	0.000110984	-4.64919e-06	2.34545e-05	-4.17234e-07
4	1.7	0.000103713	-3.93394e-06	2.30075e-05	-3.87432e-07
4	1.6	9.79905e-05	-3.57629e-06	2.25903e-05	-3.27827e-07
4	1.5	9.57255e-05	-3.45708e-06	2.23817e-05	-3.27827e-07
4	1.4	9.76329e-05	-3.57629e-06	2.25605e-05	-3.5763e-07
4	1.3	0.000101686	-3.81473e-06	2.28883e-05	-3.5763e-07
4	1.2	0.000105143	-4.17235e-06	2.31267e-05	-3.87432e-07
4	1.1	0.000108004	-4.41077e-06	2.32757e-05	-4.17234e-07
4	1	0.000112296	-4.88761e-06	2.3544e-05	-4.17234e-07
4	0.9	0.000119567	-5.48366e-06	2.37824e-05	-4.17234e-07
4	0.8	0.000127674	-6.19891e-06	2.4587e-05	-5.06643e-07
4	0.7	0.000132442	-6.79496e-06	2.60473e-05	-5.9605e-07
4	0.6	0.000141026	-7.74866e-06	2.76865e-05	-6.55655e-07
4	0.5	0.000156046	-9.41759e-06	2.95938e-05	-8.04666e-07
4	0.4	0.00016749	-1.09673e-05	3.21271e-05	-9.83484e-07
4	0.3	0.000183226	-1.32323e-05	3.55544e-05	-1.2219e-06
4	0.2	0.000201941	-1.59742e-05	4.01142e-05	-1.57953e-06
4	0.0999999999999999	0.000222445	-1.94312e-05	4.66409e-05	-2.02657e-06
4	0	0.00027323	-2.88488e-05	5.57008e-05	-3.12926e-06

4.25	2	0.000188709	-1.43052e-05	3.66571e-05	-1.37091e-06
4.25	1.9	0.000131131	-6.67575e-06	2.53917e-05	-5.66248e-07
4.25	1.8	0.000110746	-4.7684e-06	2.34247e-05	-4.17234e-07
4.25	1.7	0.000103593	-3.93394e-06	2.29777e-05	-3.87432e-07
4.25	1.6	9.81097e-05	-3.6955e-06	2.25307e-05	-3.5763e-07
4.25	1.5	9.58447e-05	-3.57629e-06	2.23221e-05	-3.27827e-07
4.25	1.4	9.76329e-05	-3.6955e-06	2.25307e-05	-3.27827e-07
4.25	1.3	0.000101686	-3.93394e-06	2.28287e-05	-3.5763e-07
4.25	1.2	0.000105143	-4.17235e-06	2.30969e-05	-3.5763e-07
4.25	1.1	0.000108123	-4.41077e-06	2.33353e-05	-3.5763e-07
4.25	1	0.000112415	-4.7684e-06	2.3544e-05	-4.17234e-07
4.25	0.9	0.000119448	-5.36445e-06	2.37824e-05	-4.47037e-07
4.25	0.8	0.000127555	-6.19891e-06	2.45572e-05	-5.06643e-07
4.25	0.7	0.000132204	-6.67575e-06	2.60473e-05	-5.36445e-07
4.25	0.6	0.000141026	-7.74866e-06	2.77163e-05	-6.55655e-07
4.25	0.5	0.000155807	-9.41759e-06	2.9564e-05	-8.04666e-07
4.25	0.4	0.000167252	-1.10865e-05	3.21271e-05	-9.83484e-07
4.25	0.3	0.000183345	-1.29939e-05	3.55544e-05	-1.2219e-06
4.25	0.2	0.000201941	-1.59742e-05	4.0144e-05	-1.57953e-06
4.25	0.0999999999999999	0.000222565	-1.94312e-05	4.66409e-05	-2.02657e-06
4.25	0	0.000272991	-2.88488e-05	5.57902e-05	-3.06965e-06

4.5	2	0.000188709	-1.44244e-05	3.66273e-05	-1.34111e-06
4.5	1.9	0.000131012	-6.55654e-06	2.54215e-05	-5.06643e-07
4.5	1.8	0.000110627	-4.64919e-06	2.34247e-05	-3.87432e-07
4.5	1.7	0.000103593	-3.93394e-06	2.29777e-05	-3.87432e-07
4.5	1.6	9.76329e-05	-3.6955e-06	2.24711e-05	-3.27827e-07
4.5	1.5	9.56063e-05	-3.57629e-06	2.22923e-05	-3.27827e-07
4.5	1.4	9.73945e-05	-3.6955e-06	2.24711e-05	-3.27827e-07
4.5	1.3	0.000101567	-3.93394e-06	2.28287e-05	-3.27827e-07
4.5	1.2	0.000105143	-4.17235e-06	2.30373e-05	-3.5763e-07
4.5	1.1	0.000108004	-4.41077e-06	2.33055e-05	-4.17234e-07
4.5	1	0.000112296	-4.64919e-06	2.35141e-05	-3.87432e-07
4.5	0.9	0.000119448	-5.36445e-06	2.38122e-05	-4.47037e-07
4.5	0.8	0.000127436	-6.31812e-06	2.45572e-05	-5.06643e-07
4.5	0.7	0.000132085	-6.67575e-06	2.59877e-05	-5.66248e-07
4.5	0.6	0.000140787	-7.74866e-06	2.77461e-05	-6.85457e-07
4.5	0.5	0.000155807	-9.41759e-06	2.95938e-05	-8.34469e-07
4.5	0.4	0.000167252	-1.10865e-05	3.21569e-05	-9.83484e-07
4.5	0.3	0.000183345	-1.32323e-05	3.55842e-05	-1.2219e-06
4.5	0.2	0.000201941	-1.59742e-05	4.01738e-05	-1.57953e-06
4.5	0.0999999999999999	0.000222565	-1.9312e-05	4.66707e-05	-2.08618e-06
4.5	0	0.00027323	-2.87296e-05	5.58796e-05	-3.12926e-06

4.75	2	0.000188471	-1.43052e-05	3.66571e-05	-1.34111e-06
4.75	1.9	0.000131131	-6.55654e-06	2.54215e-05	-5.36445e-07
4.75	1.8	0.000110746	-4.64919e-06	2.34247e-05	-3.87432e-07
4.75	1.7	0.000103236	-3.93394e-06	2.28883e-05	-3.27827e-07
4.75	1.6	9.76329e-05	-3.57629e-06	2.24711e-05	-2.98025e-07
