# ppms_field_set_stable_set	srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Magnetic Field"	"volt"	"X"	"Y"	"X"	"Y"
# 181	201
50	-9.8	2.50788e-05	-2.15323e-06	2.50713e-05	-3.80726e-06
50	-9.7	2.49298e-05	-2.17558e-06	2.56525e-05	-3.93394e-06
50	-9.6	2.52352e-05	-2.22029e-06	2.56748e-05	-3.93394e-06
50	-9.5	2.54588e-05	-2.27244e-06	2.5794e-05	-4.0606e-06
50	-9.4	2.52576e-05	-2.27244e-06	2.6025e-05	-4.24686e-06
50	-9.3	2.51756e-05	-2.25754e-06	2.58983e-05	-4.21706e-06
50	-9.2	2.50937e-05	-2.28734e-06	2.54662e-05	-4.18726e-06
50	-9.1	2.4818e-05	-2.26499e-06	2.48851e-05	-4.1053e-06
50	-9	2.45349e-05	-2.28734e-06	2.40059e-05	-4.09785e-06
50	-8.9	2.45498e-05	-2.28734e-06	2.35812e-05	-4.08295e-06
50	-8.8	2.47956e-05	-2.3544e-06	2.33651e-05	-4.05314e-06
50	-8.7	2.49521e-05	-2.3246e-06	2.32459e-05	-3.95629e-06
50	-8.6	2.49149e-05	-2.28734e-06	2.30895e-05	-3.99354e-06
50	-8.5	2.50639e-05	-2.28734e-06	2.32459e-05	-3.93394e-06
50	-8.4	2.51309e-05	-2.3246e-06	2.35589e-05	-3.91903e-06
50	-8.3	2.52501e-05	-2.3395e-06	2.39388e-05	-3.97119e-06
50	-8.2	2.53321e-05	-2.3395e-06	2.42294e-05	-4.1202e-06
50	-8.1	2.53172e-05	-2.414e-06	2.4438e-05	-4.35862e-06
50	-8	2.54364e-05	-2.45871e-06	2.47211e-05	-4.59704e-06
50	-7.9	2.56078e-05	-2.48106e-06	2.49819e-05	-4.50018e-06
50	-7.8	2.5347e-05	-2.414e-06	2.5116e-05	-4.42567e-06
50	-7.7	2.5265e-05	-2.4438e-06	2.48329e-05	-4.47038e-06
50	-7.6	2.57419e-05	-2.47361e-06	2.46243e-05	-4.43312e-06
50	-7.5	2.62262e-05	-2.54811e-06	2.4587e-05	-4.50763e-06
50	-7.4	2.6554e-05	-2.57792e-06	2.4438e-05	-4.57469e-06
50	-7.3	2.70085e-05	-2.76418e-06	2.41698e-05	-4.7833e-06
50	-7.2	2.72841e-05	-2.81633e-06	2.37451e-05	-4.7386e-06
