# count_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y	ppms_temperature	time0
# "count"	"X"	"Y"	"X"	"Y"	"Temperature"	"time0"
# 3600
2637	0.000166894	-1.03713e-05	3.28126e-05	-1.04309e-06	300.008972167969	2902.63872694969
2638	0.000167132	-1.04905e-05	3.28126e-05	-1.04309e-06	300.006988525391	2903.77606034279
2639	0.000167013	-1.04905e-05	3.2753e-05	-1.04309e-06	300.008575439453	2904.86942672729
2640	0.000167013	-1.03713e-05	3.27828e-05	-1.04309e-06	300.008392333984	2905.96580529213
2641	0.000167132	-1.01328e-05	3.28126e-05	-1.04309e-06	300.006011962891	2907.06117343903
2642	0.000167132	-1.04905e-05	3.28126e-05	-1.04309e-06	300.007385253906	2908.15852713585
2643	0.000167013	-1.04905e-05	3.27828e-05	-1.01329e-06	300.007995605469	2909.29587578773
2644	0.000167132	-1.02521e-05	3.28126e-05	-9.83484e-07	300.005798339844	2910.39033818245
2645	0.000167252	-1.04905e-05	3.28126e-05	-1.01329e-06	300.007781982422	2911.48868846893
2646	0.000167132	-1.03713e-05	3.28126e-05	-9.83484e-07	300.007385253906	2912.58806943893
2647	0.000167132	-1.02521e-05	3.28126e-05	-1.04309e-06	300.004211425781	2913.68942809105
2648	0.000167132	-1.03713e-05	3.28126e-05	-1.01329e-06	300.007202148438	2914.82675790787
2649	0.000167013	-1.03713e-05	3.28126e-05	-1.01329e-06	300.007385253906	2915.9311337471
2650	0.000167252	-1.03713e-05	3.27828e-05	-1.04309e-06	300.005218505859	2917.02648901939
2651	0.000167252	-1.06097e-05	3.28126e-05	-1.07289e-06	300.006591796875	2918.12693977356
2652	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.007598876953	2919.2173101902
2653	0.000167252	-1.02521e-05	3.28424e-05	-1.04309e-06	300.007781982422	2920.34765720367
2654	0.000167252	-1.01328e-05	3.28126e-05	-1.04309e-06	300.007385253906	2921.44602298737
2655	0.000167252	-1.03713e-05	3.28126e-05	-1.04309e-06	300.005798339844	2922.5384106636
2656	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.007598876953	2923.64090752602
2657	0.000167132	-1.03713e-05	3.28126e-05	-1.07289e-06	300.007598876953	2924.74027657509
2658	0.000167132	-1.04905e-05	3.28126e-05	-1.04309e-06	300.005798339844	2925.87562203407
2659	0.000167013	-1.04905e-05	3.28126e-05	-1.01329e-06	300.007202148438	2926.96804976463
2660	0.000167013	-1.04905e-05	3.28126e-05	-1.04309e-06	300.006988525391	2928.06741452217
2661	0.000167252	-1.04905e-05	3.28126e-05	-1.07289e-06	300.005004882812	2929.15979027748
2662	0.000167252	-1.04905e-05	3.28126e-05	-1.07289e-06	300.007385253906	2930.25616812706
2663	0.000167013	-1.02521e-05	3.28126e-05	-1.01329e-06	300.006988525391	2931.38949584961
2664	0.000166894	-1.02521e-05	3.28126e-05	-1.04309e-06	300.004425048828	2932.48786187172
2665	0.000167252	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006591796875	2933.58722758293
2666	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006805419922	2934.678596735
2667	0.000167013	-1.02521e-05	3.28126e-05	-1.04309e-06	300.005218505859	2935.77600502968
2668	0.000167252	-1.03713e-05	3.27828e-05	-1.04309e-06	300.007385253906	2936.90736937523
2669	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.005401611328	2938.00771641731
2670	0.000167013	-1.04905e-05	3.28424e-05	-1.04309e-06	300.007385253906	2939.10608243942
2671	0.000167013	-1.01328e-05	3.28126e-05	-1.07289e-06	300.006408691406	2940.19745182991
2672	0.000167013	-1.02521e-05	3.28126e-05	-1.04309e-06	300.004821777344	2941.28883433342
2673	0.000167252	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006408691406	2942.43118023872
2674	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006408691406	2943.52854275703
2675	0.000167132	-1.02521e-05	3.28424e-05	-1.04309e-06	300.004425048828	2944.62998557091
2676	0.000167252	-1.03713e-05	3.27828e-05	-1.01329e-06	300.006988525391	2945.72835564613
2677	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006408691406	2946.82672214508
2678	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.005004882812	2947.95608329773
2679	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006408691406	2949.04645323753
2680	0.000167132	-1.04905e-05	3.28126e-05	-1.07289e-06	300.006195068359	2950.15081548691
2681	0.000167013	-1.03713e-05	3.28424e-05	-1.07289e-06	300.005004882812	2951.24825024605
2682	0.000167252	-1.03713e-05	3.28126e-05	-1.07289e-06	300.006805419922	2952.34659814835
2683	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006988525391	2953.4769449234
2684	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.004425048828	2954.56733393669
2685	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006591796875	2955.66569900513
2686	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006408691406	2956.76104855537
2687	0.000167132	-1.03713e-05	3.27828e-05	-1.01329e-06	300.004821777344	2957.85643386841
2688	0.000167013	-1.01328e-05	3.28126e-05	-1.04309e-06	300.006591796875	2958.99677681923
2689	0.000167252	-1.02521e-05	3.28126e-05	-1.04309e-06	300.004028320312	2960.10111951828
2690	0.000167013	-1.04905e-05	3.28126e-05	-1.04309e-06	300.006988525391	2961.19948577881
2691	0.000166894	-1.03713e-05	3.27828e-05	-1.04309e-06	300.006011962891	2962.29786896706
2692	0.000167013	-1.03713e-05	3.27828e-05	-1.04309e-06	300.00341796875	2963.38923335075
2693	0.000167132	-1.04905e-05	3.28126e-05	-1.04309e-06	300.006011962891	2964.52756428719
2694	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006011962891	2965.63993358612
2695	0.000167013	-1.03713e-05	3.28126e-05	-9.83484e-07	300.004211425781	2966.73732304573
2696	0.000167013	-1.03713e-05	3.28424e-05	-1.01329e-06	300.006408691406	2967.82867479324
2697	0.000167013	-1.01328e-05	3.28126e-05	-1.04309e-06	300.006408691406	2968.93010854721
2698	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006408691406	2970.06843805313
2699	0.000167013	-1.04905e-05	3.28126e-05	-1.01329e-06	300.006988525391	2971.16580557823
2700	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006011962891	2972.25925731659
2701	0.000167013	-1.03713e-05	3.27828e-05	-1.07289e-06	300.006408691406	2973.35762238503
2702	0.000167013	-1.04905e-05	3.27828e-05	-1.04309e-06	300.006591796875	2974.45600581169
2703	0.000167013	-1.03713e-05	3.27828e-05	-1.07289e-06	300.004821777344	2975.58835220337
2704	0.000167013	-1.01328e-05	3.28126e-05	-1.04309e-06	300.005798339844	2976.6787173748
2705	0.000167132	-1.02521e-05	3.28126e-05	-1.07289e-06	300.005218505859	2977.77607131004
2706	0.000167013	-1.03713e-05	3.27828e-05	-1.07289e-06	300.00341796875	2978.87153053284
2707	0.000167013	-1.02521e-05	3.28126e-05	-1.04309e-06	300.006408691406	2979.96891593933
2708	0.000167132	-1.02521e-05	3.28126e-05	-1.07289e-06	300.006011962891	2981.1072576046
2709	0.000167013	-1.04905e-05	3.27828e-05	-1.07289e-06	300.004425048828	2982.19761013985
2710	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006408691406	2983.29597640038
2711	0.000167013	-1.02521e-05	3.28126e-05	-1.04309e-06	300.006011962891	2984.38636398315
2712	0.000167013	-1.01328e-05	3.28126e-05	-1.04309e-06	300.003814697266	2985.47771573067
2713	0.000167013	-1.03713e-05	3.28126e-05	-1.07289e-06	300.004028320312	2986.6201069355
2714	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006011962891	2987.71845507622
2715	0.000167013	-1.01328e-05	3.28126e-05	-1.04309e-06	300.004425048828	2988.81582140923
2716	0.000167132	-1.04905e-05	3.28126e-05	-1.04309e-06	300.006011962891	2989.90918946266
2717	0.000167013	-1.04905e-05	3.28126e-05	-9.83484e-07	300.006408691406	2991.00655603409
2718	0.000167013	-1.03713e-05	3.28424e-05	-1.04309e-06	300.006011962891	2992.13791537285
2719	0.000167252	-1.02521e-05	3.28424e-05	-1.07289e-06	300.006408691406	2993.24127840996
2720	0.000167252	-1.04905e-05	3.28126e-05	-1.01329e-06	300.006195068359	2994.33765053749
2721	0.000167013	-1.03713e-05	3.28126e-05	-1.01329e-06	300.005798339844	2995.43707227707
2722	0.000167132	-1.02521e-05	3.28126e-05	-1.04309e-06	300.005798339844	2996.5374276638
2723	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.003814697266	2997.67776012421
2724	0.000167013	-1.03713e-05	3.28126e-05	-1.07289e-06	300.006195068359	2998.77914214134
2725	0.000167132	-1.02521e-05	3.27828e-05	-1.07289e-06	300.005798339844	2999.87050700188
2726	0.000167132	-1.03713e-05	3.27828e-05	-1.07289e-06	300.00341796875	3000.96786093712
2727	0.000166894	-1.03713e-05	3.27828e-05	-1.04309e-06	300.005218505859	3002.06924295425
2728	0.000167132	-1.03713e-05	3.27828e-05	-1.04309e-06	300.005218505859	3003.20556807518
2729	0.000167013	-1.04905e-05	3.28126e-05	-1.04309e-06	300.00341796875	3004.30894446373
2730	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.005218505859	3005.41031265259
2731	0.000167132	-1.03713e-05	3.2753e-05	-1.04309e-06	300.006011962891	3006.50867438316
2732	0.000167013	-1.03713e-05	3.2753e-05	-1.04309e-06	300.004211425781	3007.61002445221
2733	0.000167013	-1.02521e-05	3.27828e-05	-1.04309e-06	300.005798339844	3008.74636816978
2734	0.000167132	-1.03713e-05	3.27828e-05	-1.07289e-06	300.005401611328	3009.84773254395
2735	0.000167013	-1.02521e-05	3.28126e-05	-1.04309e-06	300.005218505859	3010.94910907745
2736	0.000167252	-1.03713e-05	3.28126e-05	-1.07289e-06	300.005798339844	3012.04847884178
2737	0.000167132	-1.04905e-05	3.2753e-05	-1.04309e-06	300.006011962891	3013.14882564545
2738	0.000167252	-1.03713e-05	3.27828e-05	-1.04309e-06	300.004821777344	3014.29016661644
2739	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.004821777344	3015.39263153076
2740	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.00341796875	3016.49000954628
2741	0.000167132	-1.01328e-05	3.28126e-05	-1.04309e-06	300.005798339844	3017.58638000488
2742	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.004425048828	3018.69072437286
2743	0.000167252	-1.03713e-05	3.28126e-05	-1.04309e-06	300.003814697266	3019.8281006813
2744	0.000167252	-1.01328e-05	3.28126e-05	-1.04309e-06	300.005798339844	3020.93048524857
2745	0.000167132	-1.04905e-05	3.27828e-05	-1.04309e-06	300.006408691406	3022.02683115005
2746	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.002838134766	3023.12719631195
2747	0.000167252	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006408691406	3024.22756028175
2748	0.000167252	-1.03713e-05	3.28126e-05	-1.04309e-06	300.005798339844	3025.3669154644
2749	0.000167252	-1.02521e-05	3.28424e-05	-1.10269e-06	300.004821777344	3026.46027255058
2750	0.000167252	-1.04905e-05	3.28126e-05	-1.04309e-06	300.004821777344	3027.55963587761
2751	0.000167252	-1.03713e-05	3.28126e-05	-9.83484e-07	300.005401611328	3028.65000629425
2752	0.000167132	-1.04905e-05	3.28126e-05	-1.04309e-06	300.005401611328	3029.75136947632
2753	0.000167252	-1.03713e-05	3.28126e-05	-1.01329e-06	300.004821777344	3030.88974475861
2754	0.000167013	-1.03713e-05	3.28424e-05	-1.04309e-06	300.003814697266	3031.98711133003
2755	0.000167013	-1.04905e-05	3.28126e-05	-1.07289e-06	300.005004882812	3033.07848095894
2756	0.000167132	-1.01328e-05	3.28126e-05	-1.04309e-06	300.006011962891	3034.17584776878
2757	0.000167252	-1.03713e-05	3.28424e-05	-1.04309e-06	300.003814697266	3035.26621699333
2758	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.005798339844	3036.40056180954
2759	0.000167013	-1.04905e-05	3.28126e-05	-1.04309e-06	300.005004882812	3037.49692869186
2760	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.003234863281	3038.59737849236
2761	0.000167252	-1.03713e-05	3.27828e-05	-1.04309e-06	300.005798339844	3039.68776655197
2762	0.000167132	-1.03713e-05	3.28126e-05	-1.07289e-06	300.005218505859	3040.79015350342
2763	0.000167013	-1.02521e-05	3.2753e-05	-1.07289e-06	300.002838134766	3041.92956447601
2764	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.004821777344	3043.0279302597
2765	0.000167252	-1.03713e-05	3.2753e-05	-1.07289e-06	300.004821777344	3044.12730193138
2766	0.000167132	-1.02521e-05	3.28126e-05	-1.07289e-06	300.005218505859	3045.21974921227
2767	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.005798339844	3046.31765508652
2768	0.000167252	-1.03713e-05	3.28126e-05	-1.01329e-06	300.005798339844	3047.45009636879
2769	0.000167013	-1.04905e-05	3.28126e-05	-1.04309e-06	300.005218505859	3048.55146098137
2770	0.000167132	-1.03713e-05	3.28424e-05	-1.04309e-06	300.005004882812	3049.65086174011
2771	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.003234863281	3050.75122570992
2772	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.004821777344	3051.85059070587
2773	0.000167252	-1.03713e-05	3.28126e-05	-1.04309e-06	300.004821777344	3052.98996472359
2774	0.000167252	-1.03713e-05	3.28126e-05	-1.04309e-06	300.00341796875	3054.08633232117
2775	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.004821777344	3055.19074010849
2776	0.000167371	-1.02521e-05	3.28126e-05	-1.04309e-06	300.004821777344	3056.28909277916
2777	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.00341796875	3057.38647651672
2778	0.000167013	-1.02521e-05	3.28126e-05	-1.04309e-06	300.004425048828	3058.51682448387
2779	0.000167252	-1.03713e-05	3.28126e-05	-1.04309e-06	300.004821777344	3059.60917496681
2780	0.000167252	-1.03713e-05	3.27828e-05	-1.07289e-06	300.003234863281	3060.70663356781
2781	0.000167132	-1.04905e-05	3.28126e-05	-1.07289e-06	300.005004882812	3061.80799722672
2782	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.005004882812	3062.90836262703
2783	0.000167013	-1.04905e-05	3.28126e-05	-1.04309e-06	300.005798339844	3064.04672288895
2784	0.000167013	-1.04905e-05	3.28126e-05	-9.83484e-07	300.005218505859	3065.13707494736
2785	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.002227783203	3066.22844576836
2786	0.000167252	-1.02521e-05	3.28424e-05	-1.04309e-06	300.004821777344	3067.3298265934
2787	0.000167252	-1.03713e-05	3.28126e-05	-1.04309e-06	300.005004882812	3068.42817473412
2788	0.000167132	-1.03713e-05	3.28126e-05	-1.01329e-06	300.00341796875	3069.56753945351
2789	0.000167252	-1.02521e-05	3.28126e-05	-1.04309e-06	300.005218505859	3070.67687630653
2790	0.000167013	-1.04905e-05	3.28126e-05	-1.04309e-06	300.004425048828	3071.76824617386
2791	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.003234863281	3072.8666472435
2792	0.000167252	-1.03713e-05	3.28126e-05	-1.04309e-06	300.005798339844	3073.95901226997
2793	0.000167252	-1.04905e-05	3.28126e-05	-1.04309e-06	300.004821777344	3075.0973534584
2794	0.000167132	-1.03713e-05	3.28126e-05	-1.04309e-06	300.003814697266	3076.19671916962
2795	0.000167132	-1.03713e-05	3.28126e-05	-1.07289e-06	300.004821777344	3077.28812074661
2796	0.000167252	-1.04905e-05	3.28126e-05	-1.07289e-06	300.003631591797	3078.39049601555
2797	0.000167132	-1.03713e-05	3.28126e-05	-1.07289e-06	300.002838134766	3079.48785328865
2798	0.000167252	-1.03713e-05	3.28424e-05	-1.07289e-06	300.004821777344	3080.62919402122
2799	0.000167252	-1.03713e-05	3.28126e-05	-1.04309e-06	300.00244140625	3081.72664833069
2800	0.000167013	-1.03713e-05	3.28424e-05	-1.04309e-06	300.005798339844	3082.82001852989
