# ppms_temperature_set_stable_set	srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"volt"	"X"	"Y"	"X"	"Y"
# 19	601
20	-2.5	2.76511e-06	-1.74158e-07	1.78349e-06	-1.546e-07
20	-2.48	2.76697e-06	-1.74158e-07	1.78675e-06	-1.37371e-07
20	-2.46	2.77815e-06	-1.78815e-07	1.77138e-06	-1.2992e-07
20	-2.44	2.75021e-06	-1.74158e-07	1.78768e-06	-1.45753e-07
20	-2.42	2.72041e-06	-1.76021e-07	1.78582e-06	-1.43425e-07
20	-2.4	2.75766e-06	-1.89059e-07	1.79094e-06	-1.73693e-07
20	-2.38	2.72879e-06	-1.90922e-07	1.75834e-06	-1.33646e-07
20	-2.36	2.75487e-06	-1.93716e-07	1.76812e-06	-1.27126e-07
20	-2.34	2.75487e-06	-1.46219e-07	1.78442e-06	-1.23401e-07
20	-2.32	2.73158e-06	-1.78815e-07	1.74391e-06	-1.7183e-07
20	-2.3	2.74928e-06	-1.55532e-07	1.7495e-06	-1.31783e-07
20	-2.28	2.70458e-06	-1.7509e-07	1.75741e-06	-1.35043e-07
20	-2.26	2.76511e-06	-1.58326e-07	1.75881e-06	-1.33646e-07
20	-2.24	2.75766e-06	-1.74158e-07	1.76021e-06	-9.91863e-08
20	-2.22	2.76045e-06	-1.85334e-07	1.7644e-06	-1.24798e-07
20	-2.2	2.72786e-06	-1.91853e-07	1.74717e-06	-1.16416e-07
20	-2.18	2.72972e-06	-1.86265e-07	1.76533e-06	-1.21073e-07
20	-2.16	2.71389e-06	-1.57394e-07	1.69641e-06	-1.27592e-07
20	-2.14	2.71761e-06	-1.72296e-07	1.73972e-06	-1.34577e-07
20	-2.12	2.76884e-06	-1.64845e-07	1.70014e-06	-1.29455e-07
20	-2.1	2.76045e-06	-1.80677e-07	1.70246e-06	-1.62517e-07
20	-2.08	2.72786e-06	-1.88128e-07	1.74996e-06	-1.77884e-07
20	-2.06	2.76139e-06	-1.7509e-07	1.74624e-06	-1.2992e-07
20	-2.04	2.70923e-06	-1.78815e-07	1.70014e-06	-1.44356e-07
20	-2.02	2.76325e-06	-1.76952e-07	1.72528e-06	-1.46684e-07
20	-2	2.72786e-06	-1.58326e-07	1.71224e-06	-1.32714e-07
20	-1.98	2.75766e-06	-1.6857e-07	1.71085e-06	-1.30852e-07
20	-1.96	2.78001e-06	-1.69502e-07	1.72389e-06	-1.02446e-07
20	-1.94	2.75114e-06	-1.76021e-07	1.68384e-06	-1.26661e-07
20	-1.92	2.72506e-06	-2.34694e-07	1.70107e-06	-1.35974e-07
20	-1.9	2.72693e-06	-1.78815e-07	1.7155e-06	-1.52272e-07
20	-1.88	2.71389e-06	-1.6112e-07	1.71178e-06	-1.41096e-07
20	-1.86	2.74276e-06	-2.07686e-07	1.72575e-06	-1.30386e-07
20	-1.84	2.73903e-06	-2.01167e-07	1.69455e-06	-1.62051e-07
20	-1.82	2.73717e-06	-1.76021e-07	1.7155e-06	-1.3644e-07
20	-1.8	2.75207e-06	-1.74158e-07	1.70107e-06	-1.35974e-07
20	-1.78	2.73903e-06	-1.88128e-07	1.6573e-06	-1.21539e-07
20	-1.76	2.72227e-06	-1.90922e-07	1.69129e-06	-1.35974e-07
20	-1.74	2.74369e-06	-1.94647e-07	1.68104e-06	-1.23867e-07
20	-1.72	2.74183e-06	-1.46219e-07	1.6843e-06	-1.17347e-07
20	-1.7	2.74462e-06	-1.77884e-07	1.6885e-06	-1.24798e-07
20	-1.68	2.753e-06	-1.6857e-07	1.64659e-06	-1.28058e-07
