# ppms_temperature_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"voltage"	"X"	"Y"	"X"	"Y"
# 190	21
22	2	0.000185252	-1.33515e-05	3.75512e-05	-1.28151e-06
22	1.9	0.000129701	-6.43733e-06	2.64646e-05	-5.06643e-07
22	1.8	0.000109315	-4.41077e-06	2.32459e-05	-3.5763e-07
22	1.7	9.98979e-05	-3.6955e-06	2.19346e-05	-2.68223e-07
22	1.6	9.52487e-05	-3.33787e-06	2.13982e-05	-2.68223e-07
22	1.5	9.40566e-05	-3.21867e-06	2.12492e-05	-2.68223e-07
22	1.4	9.51295e-05	-3.57629e-06	2.13982e-05	-2.68223e-07
22	1.3	9.78713e-05	-3.57629e-06	2.16366e-05	-2.3842e-07
22	1.2	0.000102044	-3.81473e-06	2.22028e-05	-2.98025e-07
22	1.1	0.000106335	-4.29156e-06	2.28585e-05	-3.27827e-07
22	1	0.000111342	-4.7684e-06	2.36036e-05	-3.5763e-07
22	0.9	0.000118256	-5.36445e-06	2.45572e-05	-3.87432e-07
22	0.8	0.000126005	-5.96049e-06	2.56897e-05	-4.76841e-07
22	0.7	0.000132323	-6.67575e-06	2.70904e-05	-5.66248e-07
22	0.6	0.000141145	-7.74866e-06	2.88786e-05	-6.25852e-07
22	0.5	0.000154377	-9.17917e-06	3.10841e-05	-8.04666e-07
22	0.4	0.000168444	-1.08481e-05	3.39451e-05	-9.53682e-07
22	0.3	0.000184179	-1.28747e-05	3.75512e-05	-1.1921e-06
22	0.2	0.000202538	-1.56165e-05	4.20513e-05	-1.54973e-06
22	0.0999999999999999	0.000221969	-1.89544e-05	4.73859e-05	-2.02657e-06
22	0	0.000250818	-2.40804e-05	5.31378e-05	-2.65242e-06

23	2	0.000185014	-1.33515e-05	3.7581e-05	-1.2517e-06
23	1.9	0.000129939	-6.43733e-06	2.64944e-05	-5.36445e-07
23	1.8	0.000109196	-4.52998e-06	2.32757e-05	-3.5763e-07
23	1.7	9.97786e-05	-3.6955e-06	2.19346e-05	-2.98025e-07
23	1.6	9.50103e-05	-3.21867e-06	2.13982e-05	-2.68223e-07
23	1.5	9.40566e-05	-3.33787e-06	2.12194e-05	-2.3842e-07
23	1.4	9.51295e-05	-3.45708e-06	2.13982e-05	-2.68223e-07
23	1.3	9.78713e-05	-3.6955e-06	2.16962e-05	-2.68223e-07
23	1.2	0.000101924	-3.93394e-06	2.2173e-05	-3.27827e-07
23	1.1	0.000106454	-4.29156e-06	2.28585e-05	-2.68223e-07
23	1	0.00011158	-4.7684e-06	2.36334e-05	-3.87432e-07
23	0.9	0.000118375	-5.36445e-06	2.4587e-05	-4.17234e-07
23	0.8	0.000126124	-6.0797e-06	2.57493e-05	-5.06643e-07
23	0.7	0.000132562	-6.67575e-06	2.715e-05	-5.9605e-07
23	0.6	0.000141502	-7.74866e-06	2.89978e-05	-6.55655e-07
23	0.5	0.000154496	-9.17917e-06	3.12033e-05	-8.04666e-07
23	0.4	0.000168444	-1.08481e-05	3.40345e-05	-9.83484e-07
23	0.3	0.000184298	-1.28747e-05	3.76406e-05	-1.2517e-06
23	0.2	0.000202418	-1.54973e-05	4.20513e-05	-1.57953e-06
23	0.0999999999999999	0.000221373	-1.88352e-05	4.72965e-05	-1.99677e-06
23	0	0.000249388	-2.39612e-05	5.27801e-05	-2.65242e-06

24	2	0.000184895	-1.32323e-05	3.76108e-05	-1.2517e-06
24	1.9	0.000130058	-6.55654e-06	2.6554e-05	-5.06643e-07
24	1.8	0.000109315	-4.41077e-06	2.32459e-05	-3.5763e-07
24	1.7	9.98979e-05	-3.6955e-06	2.1875e-05	-2.68223e-07
24	1.6	9.54871e-05	-3.45708e-06	2.13684e-05	-2.3842e-07
24	1.5	9.40566e-05	-3.33787e-06	2.12194e-05	-2.3842e-07
24	1.4	9.52487e-05	-3.45708e-06	2.13684e-05	-2.3842e-07
24	1.3	9.79905e-05	-3.57629e-06	2.1726e-05	-2.68223e-07
24	1.2	0.000102044	-3.81473e-06	2.22028e-05	-2.68223e-07
24	1.1	0.000106454	-4.29156e-06	2.28585e-05	-3.27827e-07
24	1	0.00011158	-4.7684e-06	2.36632e-05	-3.5763e-07
24	0.9	0.000118494	-5.36445e-06	2.46466e-05	-4.17234e-07
24	0.8	0.000126124	-5.96049e-06	2.57791e-05	-4.76841e-07
24	0.7	0.000132681	-6.79496e-06	2.72394e-05	-5.36445e-07
24	0.6	0.000141622	-7.74866e-06	2.90574e-05	-6.55655e-07
24	0.5	0.000154496	-9.29838e-06	3.12927e-05	-8.04666e-07
24	0.4	0.000168682	-1.08481e-05	3.41239e-05	-9.83484e-07
24	0.3	0.000184298	-1.29939e-05	3.77002e-05	-1.2219e-06
24	0.2	0.000202299	-1.54973e-05	4.20513e-05	-1.54973e-06
24	0.0999999999999999	0.000220896	-1.85968e-05	4.71475e-05	-1.99677e-06
24	0	0.000247838	-2.36036e-05	5.23927e-05	-2.59282e-06

25	2	0.000184775	-1.32323e-05	3.76406e-05	-1.2517e-06
25	1.9	0.000130177	-6.43733e-06	2.66136e-05	-5.36445e-07
25	1.8	0.000109435	-4.52998e-06	2.32161e-05	-3.5763e-07
25	1.7	9.98979e-05	-3.81473e-06	2.19048e-05	-2.3842e-07
25	1.6	9.53679e-05	-3.45708e-06	2.13386e-05	-2.3842e-07
25	1.5	9.41758e-05	-3.33787e-06	2.12194e-05	-2.3842e-07
25	1.4	9.53679e-05	-3.33787e-06	2.13386e-05	-2.3842e-07
25	1.3	9.79905e-05	-3.57629e-06	2.16962e-05	-2.68223e-07
25	1.2	0.000102163	-3.81473e-06	2.22028e-05	-2.98025e-07
25	1.1	0.000106574	-4.29156e-06	2.28585e-05	-3.27827e-07
25	1	0.0001117	-4.7684e-06	2.36632e-05	-3.5763e-07
