# ppms_field_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X
# "Magnetic Field"	"voltage"	"X"	"Y"	"X"
# 91	101
8800	5.1	7.28373e-05	-3.09946e-06	1.30833e-05
8800	5	8.1182e-05	-3.6955e-06	1.46032e-05
8800	4.9	8.83345e-05	-4.64919e-06	1.56463e-05
8800	4.8	9.41758e-05	-5.24524e-06	1.66e-05
8800	4.7	0.000100971	-5.96049e-06	1.72557e-05
8800	4.6	0.00010705	-6.43733e-06	1.76133e-05
8800	4.5	0.000112057	-7.15259e-06	1.77623e-05
8800	4.4	0.000116706	-7.74866e-06	1.78219e-05
8800	4.3	0.000118852	-8.10629e-06	1.82093e-05
8800	4.2	0.000118256	-8.2255e-06	1.87458e-05
8800	4.1	0.000116945	-7.98708e-06	1.89246e-05
8800	4	0.000114799	-7.86787e-06	1.8865e-05
8800	3.9	0.00011158	-7.74866e-06	1.8567e-05
8800	3.8	0.000107766	-7.2718e-06	1.78517e-05
8800	3.7	0.000106097	-7.03338e-06	1.69874e-05
8800	3.6	0.000103117	-6.67575e-06	1.65404e-05
8800	3.5	0.000100017	-6.43733e-06	1.53781e-05
8800	3.4	9.41758e-05	-5.96049e-06	1.29939e-05
8800	3.3	8.86922e-05	-5.24524e-06	1.01627e-05
8800	3.2	8.18972e-05	-4.52998e-06	7.62945e-06
8800	3.1	7.55792e-05	-3.93394e-06	6.16911e-06
8800	3	6.83074e-05	-3.21867e-06	4.32137e-06
8800	2.9	5.74591e-05	-2.62262e-06	2.53321e-06
8800	2.8	5.84128e-05	-2.3842e-06	2.77163e-06
8800	2.7	7.62944e-05	-3.6955e-06	6.0797e-06
8800	2.6	0.000102878	-6.0797e-06	1.12951e-05
8800	2.5	0.000125767	-8.70234e-06	1.45734e-05
8800	2.4	0.000142814	-1.09673e-05	1.65404e-05
8800	2.3	0.000149966	-1.2517e-05	1.76133e-05
8800	2.2	0.000158072	-1.40668e-05	1.93716e-05
8800	2.1	0.000173212	-1.66894e-05	2.07127e-05
8800	2	0.000184775	-1.90736e-05	2.21134e-05
8800	1.9	0.000203253	-2.26499e-05	2.66732e-05
8800	1.8	0.000226022	-2.7299e-05	3.20377e-05
8800	1.7	0.000244977	-3.19483e-05	3.56736e-05
8800	1.6	0.000262978	-3.67167e-05	3.8624e-05
8800	1.5	0.000284912	-4.24387e-05	4.24387e-05
8800	1.4	0.000315906	-5.06642e-05	4.77734e-05
8800	1.3	0.000341775	-5.82936e-05	5.1141e-05
8800	1.2	0.000367047	-6.69961e-05	5.34954e-05
8800	1.1	0.000409009	-8.1778e-05	6.05586e-05
8800	1	0.000456573	-0.000100732	6.8516e-05
8800	0.9	0.000500325	-0.000120044	7.50725e-05
8800	0.799999999999999	0.000545505	-0.000142337	8.12714e-05
8800	0.699999999999999	0.000594143	-0.000168444	8.75895e-05
8800	0.6	0.00064886	-0.000202895	9.21492e-05
8800	0.5	0.000701908	-0.000240088	9.84077e-05
8800	0.399999999999999	0.000756506	-0.000280382	0.000110776
8800	0.299999999999999	0.000829939	-0.000334742	0.000131578
8800	0.199999999999999	0.000911478	-0.000401618	0.000157804
8800	0.0999999999999996	0.00100089	-0.000489954	0.000193627
8800	0	0.00108231	-0.000579838	0.00023681

8700	10	4.51806e-05	-1.31131e-06	7.21219e-06
